Date,Salt
1939-10-15,32.290207
1939-11-15,32.50931
1939-12-15,33.073452
1940-01-15,33.706276
1940-02-15,34.076477
1940-03-15,33.511642
1940-04-15,32.66782
1940-05-15,33.224953
1940-06-15,33.13319
1940-07-15,33.227985
1940-08-15,33.009907
1940-09-15,32.320892
1940-10-15,30.753807
1940-11-15,30.978771
1940-12-15,32.556236
1941-01-15,33.217594
1941-02-15,33.371586
1941-03-15,33.606266
1941-04-15,33.97477
1941-05-15,33.31365
1941-06-15,33.479115
1941-07-15,33.452637
1941-08-15,32.715275
1941-09-15,32.063488
1941-10-15,30.900946
1941-11-15,32.29908
1941-12-15,33.202843
1942-01-15,33.993538
1942-02-15,34.34375
1942-03-15,34.348827
1942-04-15,34.18539
1942-05-15,33.655838
1942-06-15,33.455593
1942-07-15,33.57271
1942-08-15,33.242958
1942-09-15,32.575
1942-10-15,32.894073
1942-11-15,33.012733
1942-12-15,33.20636
1943-01-15,33.511486
1943-02-15,33.15305
1943-03-15,33.207016
1943-04-15,33.05814
1943-05-15,32.92312
1943-06-15,33.193363
1943-07-15,33.394135
1943-08-15,33.362206
1943-09-15,33.190556
1943-10-15,33.997498
1943-11-15,33.86986
1943-12-15,33.985912
1944-01-15,33.668045
1944-02-15,33.77314
1944-03-15,33.557472
1944-04-15,33.202457
1944-05-15,32.82166
1944-06-15,33.14957
1944-07-15,33.287678
1944-08-15,33.33936
1944-09-15,33.516186
1944-10-15,33.569405
1944-11-15,33.61695
1944-12-15,34.099735
1945-01-15,33.955433
1945-02-15,33.749664
1945-03-15,33.74162
1945-04-15,33.775143
1945-05-15,33.237835
1945-06-15,33.257416
1945-07-15,33.45401
1945-08-15,33.37003
1945-09-15,33.059807
1945-10-15,32.65527
1945-11-15,33.27718
1945-12-15,33.29366
1946-01-15,33.566166
1946-02-15,33.565178
1946-03-15,33.619507
1946-04-15,33.378628
1946-05-15,33.21516
1946-06-15,33.390434
1946-07-15,33.728046
1946-08-15,33.561348
1946-09-15,33.501328
1946-10-15,33.357376
1946-11-15,33.553844
1946-12-15,33.46603
1947-01-15,32.96622
1947-02-15,32.062244
1947-03-15,33.26483
1947-04-15,33.393047
1947-05-15,33.395565
1947-06-15,33.570644
1947-07-15,33.71465
1947-08-15,34.18557
1947-09-15,33.89713
1947-10-15,33.607925
1947-11-15,34.16752
1947-12-15,33.372753
1948-01-15,33.344658
1948-02-15,32.94501
1948-03-15,33.173626
1948-04-15,33.194767
1948-05-15,33.211845
1948-06-15,33.42508
1948-07-15,33.38357
1948-08-15,33.461742
1948-09-15,33.419537
1948-10-15,33.296085
1948-11-15,33.31997
1948-12-15,33.547546
1949-01-15,33.275726
1949-02-15,33.561428
1949-03-15,33.001766
1949-04-15,33.21372
1949-05-15,33.471752
1949-06-15,33.426647
1949-07-15,33.394535
1949-08-15,33.26872
1949-09-15,33.260765
1949-10-15,33.137848
1949-11-15,33.51973
1949-12-15,33.59334
1950-01-15,33.602295
1950-02-15,33.74382
1950-03-15,33.81504
1950-04-15,33.476395
1950-05-15,33.295956
1950-06-15,33.376686
1950-07-15,33.411392
1950-08-15,33.199352
1950-09-15,32.898533
1950-10-15,32.390938
1950-11-15,32.787712
1950-12-15,32.777103
1951-01-15,33.49697
1951-02-15,33.345623
1951-03-15,33.39668
1951-04-15,33.893433
1951-05-15,34.030052
1951-06-15,33.810097
1951-07-15,33.79718
1951-08-15,33.765476
1951-09-15,33.515823
1951-10-15,33.271004
1951-11-15,33.399372
1951-12-15,34.031063
1952-01-15,33.878326
1952-02-15,34.13613
1952-03-15,34.14679
1952-04-15,33.615726
1952-05-15,33.368324
1952-06-15,33.15212
1952-07-15,33.572372
1952-08-15,33.41297
1952-09-15,32.72216
1952-10-15,32.736843
1952-11-15,32.93963
1952-12-15,33.291393
1953-01-15,33.145523
1953-02-15,33.825825
1953-03-15,33.744366
1953-04-15,34.07608
1953-05-15,33.98565
1953-06-15,33.994083
1953-07-15,34.04936
1953-08-15,33.856373
1953-09-15,33.67868
1953-10-15,33.40807
1953-11-15,33.45898
1953-12-15,33.799267
1954-01-15,33.6899
1954-02-15,33.759155
1954-03-15,33.179096
1954-04-15,33.29902
